Area Dist
3000 7
32700 10
50690 15
49700 20
36300 25
25040 30
19090 35
15140 40
12300 45
10175 50
8730 55
7465 60
6466 65
5820 70
5115 75
4680 80
4250 85
3887 90
3600 95
3305 100
3030 105
2810 110
2647 115
2465 120
2340 125
2195 130
2065 135
1966 140
1870 145
1795 150
1695 155
1625 160
1560 165
1490 170
1425 175
1382 180
1319 185
1283 190
1223 195
1150 200
1135 205
1103 210
1092 215
1040 220
993 225
970 230
919 235
906 240
882 245
878 250
810 255
803 260
799 265
793 270
753 275
730 280
708 285
685 290
680 295
661 300
